,datetime,target,source_x,source_y
0,2018-02-14 00:28:07,0.0,target,files
1,2018-02-14 00:28:08,0.0,target,files
2,2018-02-14 00:28:09,0.0,target,files
3,2018-02-14 00:28:10,0.0,target,files
4,2018-02-14 00:28:11,0.0,target,files
5,2018-02-14 00:28:12,0.0,target,files
6,2018-02-14 00:28:13,0.0,target,files
7,2018-02-14 00:28:14,0.0,target,files
8,2018-02-14 00:28:15,0.0,target,files
9,2018-02-14 00:28:16,0.0,target,files
10,2018-02-14 00:28:17,0.0,target,files
11,2018-02-14 00:28:18,0.0,target,files
12,2018-02-14 00:28:19,0.0,target,files
13,2018-02-14 00:28:20,0.0,target,files
14,2018-02-14 00:28:21,0.0,target,files
15,2018-02-14 00:28:22,0.0,target,files
16,2018-02-14 00:28:23,0.0,target,files
17,2018-02-14 00:28:24,0.0,target,files
18,2018-02-14 00:28:25,0.0,target,files
19,2018-02-14 00:28:26,0.0,target,files
20,2018-02-14 00:28:27,0.0,target,files
21,2018-02-14 00:28:28,0.0,target,files
22,2018-02-14 00:28:29,0.0,target,files
23,2018-02-14 00:28:30,0.0,target,files
24,2018-02-14 00:28:31,0.0,target,files
25,2018-02-14 00:28:32,0.0,target,files
26,2018-02-14 00:28:33,0.0,target,files
27,2018-02-14 00:28:34,0.0,target,files
28,2018-02-14 00:28:35,0.0,target,files
29,2018-02-14 00:28:36,0.0,target,files
30,2018-02-14 00:28:37,0.0,target,files
31,2018-02-14 00:28:38,0.0,target,files
32,2018-02-14 00:28:39,0.0,target,files
33,2018-02-14 00:28:40,0.0,target,files
34,2018-02-14 00:28:41,0.0,target,files
35,2018-02-14 00:28:42,0.0,target,files
36,2018-02-14 00:28:43,0.0,target,files
37,2018-02-14 00:28:44,0.0,target,files
38,2018-02-14 00:28:45,0.0,target,files
39,2018-02-14 00:28:46,0.0,target,files
40,2018-02-14 00:28:47,0.0,target,files
41,2018-02-14 00:28:48,0.0,target,files
42,2018-02-14 00:28:49,0.0,target,files
43,2018-02-14 00:28:50,0.0,target,files
44,2018-02-14 00:28:51,0.0,target,files
45,2018-02-14 00:28:52,0.0,target,files
46,2018-02-14 00:28:53,0.0,target,files
47,2018-02-14 00:28:54,0.0,target,files
48,2018-02-14 00:28:55,0.0,target,files
49,2018-02-14 00:28:56,0.0,target,files
50,2018-02-14 00:28:57,0.0,target,files
51,2018-02-14 00:28:58,0.0,target,files
52,2018-02-14 00:28:59,0.0,target,files
53,2018-02-14 00:29:00,0.0,target,files
54,2018-02-14 00:29:01,0.0,target,files
55,2018-02-14 00:29:02,0.0,target,files
56,2018-02-14 00:29:03,0.0,target,files
57,2018-02-14 00:29:04,0.0,target,files
58,2018-02-14 00:29:05,0.0,target,files
59,2018-02-14 00:29:06,0.0,target,files
60,2018-02-14 00:29:07,0.0,target,files
61,2018-02-14 00:29:08,0.0,target,files
62,2018-02-14 00:29:09,0.0,target,files
63,2018-02-14 00:29:10,0.0,target,files
64,2018-02-14 00:29:11,0.0,target,files
65,2018-02-14 00:29:12,0.0,target,files
66,2018-02-14 00:29:13,0.0,target,files
67,2018-02-14 00:29:14,0.0,target,files
68,2018-02-14 00:29:15,0.0,target,files
69,2018-02-14 00:29:16,0.0,target,files
70,2018-02-14 00:29:17,0.0,target,files
71,2018-02-14 00:29:18,0.0,target,files
72,2018-02-14 00:29:19,0.0,target,files
73,2018-02-14 00:29:20,0.0,target,files
74,2018-02-14 00:29:21,0.0,target,files
75,2018-02-14 00:29:22,0.0,target,files
76,2018-02-14 00:29:23,0.0,target,files
77,2018-02-14 00:29:24,0.0,target,files
78,2018-02-14 00:29:25,0.0,target,files
79,2018-02-14 00:29:26,0.0,target,files
